,Unnamed: 0,Visitor,Home,PTSDF
277,277,PHI,GSW,20
278,278,POR,SAC,4
279,279,DET,LAC,11
280,280,MIN,CHO,18
281,281,PHO,NYK,-21
282,282,CHI,ORL,-35
283,283,TOR,IND,17
284,284,ATL,MEM,-32
285,285,WAS,OKC,-2
286,286,BOS,SAS,8
287,287,MIL,DEN,-11
288,288,NOP,UTA,-1
289,289,POR,GSW,15
290,290,SAC,LAL,-4
291,291,MIN,PHI,-1
292,292,NYK,ATL,-9
293,293,PHO,BRK,-6
294,294,MIA,CHI,-3
295,295,ORL,CLE,13
296,296,CHO,HOU,3
297,297,WAS,DAL,-6
298,298,NOP,UTA,22
299,299,GSW,LAC,-15
300,300,MIL,IND,-18
301,301,SAC,MEM,27
302,302,BOS,TOR,-12
303,303,DET,LAL,4
304,304,ORL,PHI,5
305,305,DEN,MIA,-9
306,306,CHO,CHI,14
307,307,OKC,HOU,13
308,308,IND,MIN,2
309,309,CLE,DAL,-18
310,310,WAS,SAS,17
311,311,POR,UTA,22
312,312,NOP,LAC,-19
313,313,NYK,BRK,2
314,314,MEM,TOR,-7
315,315,GSW,PHO,8
316,316,DET,POR,18
317,317,LAL,SAC,-25
318,318,ATL,IND,-3
319,319,DEN,ORL,5
320,320,MIN,WAS,8
321,321,PHI,BOS,1
322,322,CLE,MIA,-26
323,323,CHO,MIL,2
324,324,DAL,NOP,-32
325,325,HOU,OKC,-4
326,326,SAC,LAC,-9
327,327,CHI,NYK,-4
328,328,MIL,TOR,4
329,329,OKC,MEM,73
330,330,DET,PHO,11
331,331,SAS,POR,-31
332,332,MIA,IND,-9
333,333,CLE,WAS,-15
334,334,PHI,ATL,-2
335,335,MIN,BRK,5
336,336,ORL,HOU,2
337,337,NOP,DAL,-16
338,338,BOS,UTA,7
339,339,PHO,GSW,22
340,340,LAC,LAL,-4
341,341,DEN,NYK,-14
342,342,CHI,BRK,-4
343,343,MIA,MIL,22
344,344,MEM,DAL,-7
345,345,SAS,GSW,-5
346,346,BOS,POR,-28
347,347,LAC,SAC,5
348,348,UTA,CLE,-1
349,349,CHO,ATL,-3
350,350,WAS,TOR,12
351,351,NOP,HOU,10
352,352,PHI,CHO,-3
353,353,OKC,DET,-11
354,354,WAS,IND,6
355,355,MEM,MIA,-15
356,356,DEN,CHI,12
357,357,CLE,MIL,8
358,358,ATL,MIN,-11
359,359,SAS,PHO,4
360,360,ORL,GSW,31
361,361,LAC,POR,-12
362,362,BRK,DAL,-3
363,363,NYK,SAS,-12
364,364,BOS,LAL,15
365,365,PHI,CHO,-4
366,366,CHI,CLE,23
367,367,WAS,DET,-3
368,368,NYK,IND,20
369,369,MIL,MIA,9
370,370,OKC,TOR,-1
371,371,BRK,HOU,10
372,372,DAL,MEM,-8
373,373,UTA,MIN,-32
374,374,DEN,NOP,-6
375,375,POR,GSW,10
376,376,ORL,SAC,12
377,377,BOS,LAC,3
378,378,UTA,PHI,-22
379,379,LAL,MEM,13
380,380,DEN,SAS,12
381,381,SAC,CHO,1
382,382,DAL,IND,13
383,383,BRK,ATL,-8
384,384,NYK,TOR,3
385,385,MIL,HOU,-9
386,386,CLE,MIN,-17
387,387,DET,NOP,16
388,388,LAL,OKC,-21
389,389,BOS,PHO,21
390,390,ORL,LAC,2
391,391,UTA,WAS,-25
392,392,SAC,CLE,14
393,393,HOU,MEM,7
394,394,CHI,MIA,26
395,395,GSW,PHI,9
396,396,DEN,SAS,-15
397,397,MIL,NYK,-15
398,398,BRK,DET,-12
399,399,DAL,OKC,-19
400,400,NOP,SAS,15
401,401,MIN,POR,-5
402,402,ORL,LAL,12
403,403,MIA,CLE,11
404,404,GSW,IND,-2
405,405,SAC,TOR,23
406,406,HOU,ATL,-6
407,407,MIL,BOS,14
408,408,PHI,MEM,35
409,409,CHO,DAL,24
410,410,WAS,DEN,6
411,411,PHO,LAC,16
412,412,TOR,BRK,2
413,413,GSW,NYK,-9
414,414,PHO,POR,-4
415,415,HOU,CLE,35
416,416,ATL,ORL,-12
417,417,MIA,PHI,-5
418,418,LAL,DAL,-3
419,419,IND,MIL,15
420,420,NOP,OKC,-3
421,421,CHO,SAS,-16
422,422,MIN,DEN,-17
423,423,MEM,POR,-10
424,424,WAS,SAC,14
425,425,LAC,UTA,21
426,426,DET,IND,9
