Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,121.35714285714286,262.07142857142856,0.47885185185185186,35.607142857142854,103.53571428571429,0.3198695652173913,85.75,158.53571428571428,0.5663703703703704,0.5339259259259259,48.107142857142854,62.642857142857146,0.7600833333333333,33.035714285714285,95.39285714285714,128.42857142857142,74.32142857142857,20.785714285714285,16.321428571428573,39.892857142857146,59.82142857142857,326.42857142857144
LAC,142.82608695652175,311.7391304347826,0.4640909090909091,45.52173913043478,121.82608695652173,0.38480952380952377,97.30434782608695,189.91304347826087,0.5042727272727272,0.5375,55.34782608695652,69.82608695652173,0.7704545454545454,32.47826086956522,124.34782608695652,156.82608695652175,85.6086956521739,26.434782608695652,17.652173913043477,46.43478260869565,66.43478260869566,386.5217391304348
LAL,136.6,291.16,0.42852,39.28,113.04,0.2920869565217391,97.32,178.12,0.50644,0.49008,55.2,75.36,0.7450476190476191,31.28,113.04,144.32,78.72,25.04,17.0,45.56,66.16,367.68
MEM,155.2608695652174,336.4782608695652,0.4156521739130435,41.08695652173913,116.47826086956522,0.25352380952380954,114.17391304347827,220.0,0.5497142857142857,0.4701739130434783,60.56521739130435,82.52173913043478,0.6078333333333333,50.391304347826086,124.91304347826087,175.30434782608697,92.65217391304348,34.78260869565217,23.17391304347826,44.47826086956522,70.43478260869566,412.17391304347825
MIA,147.54545454545453,316.09090909090907,0.4485909090909091,50.63636363636363,133.45454545454547,0.3425238095238095,96.9090909090909,182.63636363636363,0.4735,0.5287727272727273,64.36363636363636,79.68181818181819,0.7648571428571429,36.68181818181818,126.27272727272727,162.95454545454547,95.0,27.545454545454547,12.045454545454545,51.31818181818182,76.31818181818181,410.09090909090907
MIL,118.24137931034483,252.79310344827587,0.39882142857142855,39.758620689655174,108.65517241379311,0.34240000000000004,78.48275862068965,144.13793103448276,0.4631111111111111,0.47160714285714284,50.310344827586206,64.86206896551724,0.7871666666666667,28.96551724137931,103.10344827586206,132.06896551724137,67.58620689655173,21.482758620689655,11.241379310344827,36.03448275862069,51.51724137931034,326.55172413793105
MIN,189.5,414.3333333333333,0.4695294117647059,67.27777777777777,188.11111111111111,0.3331875,122.22222222222223,226.22222222222223,0.554235294117647,0.5413529411764706,81.88888888888889,105.22222222222223,0.7438125,51.166666666666664,150.0,201.16666666666666,117.0,40.05555555555556,25.555555555555557,62.55555555555556,99.22222222222223,528.1666666666666
NOP,149.72727272727272,327.8181818181818,0.4198636363636364,39.68181818181818,119.5,0.31514285714285717,110.04545454545455,208.3181818181818,0.4957142857142857,0.4809545454545454,68.22727272727273,86.5,0.7758571428571428,44.59090909090909,123.9090909090909,168.5,93.04545454545455,30.90909090909091,14.909090909090908,49.5,73.27272727272727,407.3636363636364
NYK,134.2608695652174,307.3478260869565,0.3941818181818182,47.04347826086956,131.69565217391303,0.28689473684210526,87.21739130434783,175.65217391304347,0.47705000000000003,0.45827272727272733,64.04347826086956,86.08695652173913,0.7245294117647059,40.91304347826087,123.52173913043478,164.43478260869566,77.95652173913044,24.782608695652176,17.347826086956523,44.21739130434783,72.69565217391305,379.60869565217394
OKC,120.8076923076923,281.15384615384613,0.43261538461538457,38.11538461538461,117.92307692307692,0.2858846153846154,82.6923076923077,163.23076923076923,0.53096,0.498,47.42307692307692,62.76923076923077,0.7159565217391304,32.84615384615385,111.03846153846153,143.8846153846154,70.07692307692308,23.923076923076923,14.615384615384615,41.92307692307692,57.57692307692308,327.15384615384613
ORL,142.6818181818182,329.09090909090907,0.4098636363636363,45.40909090909091,137.36363636363637,0.3015,97.27272727272727,191.72727272727272,0.4762272727272727,0.4805454545454545,57.72727272727273,73.36363636363636,0.76475,33.90909090909091,131.13636363636363,165.04545454545453,88.5,25.227272727272727,16.681818181818183,51.45454545454545,73.27272727272727,388.5
PHI,140.43478260869566,301.39130434782606,0.467,41.30434782608695,113.3913043478261,0.25695,99.1304347826087,188.0,0.5385454545454545,0.5216818181818182,69.78260869565217,85.0,0.7971666666666667,30.434782608695652,120.43478260869566,150.8695652173913,84.56521739130434,27.52173913043478,18.91304347826087,41.869565217391305,69.1304347826087,391.95652173913044
PHO,155.69565217391303,321.2608695652174,0.4108695652173914,41.34782608695652,113.73913043478261,0.30025,114.34782608695652,207.52173913043478,0.45839130434782616,0.46304347826086956,56.65217391304348,71.08695652173913,0.7748947368421052,34.82608695652174,126.65217391304348,161.47826086956522,97.56521739130434,30.52173913043478,15.608695652173912,44.0,71.0,409.39130434782606
POR,117.07407407407408,264.5925925925926,0.43737037037037035,38.629629629629626,111.74074074074075,0.283,78.44444444444444,152.85185185185185,0.5119259259259259,0.5005925925925926,49.851851851851855,65.5925925925926,0.7687307692307692,31.62962962962963,98.55555555555556,130.1851851851852,69.62962962962963,24.333333333333332,13.555555555555555,41.55555555555556,64.0,322.6296296296296
SAC,127.73076923076923,277.8076923076923,0.41136,36.03846153846154,104.6923076923077,0.33108695652173914,91.6923076923077,173.1153846153846,0.45936,0.46296,56.38461538461539,73.38461538461539,0.7512916666666666,30.153846153846153,105.26923076923077,135.42307692307693,74.73076923076923,22.615384615384617,14.192307692307692,42.69230769230769,59.69230769230769,347.88461538461536
SAS,147.75,316.7083333333333,0.42343478260869566,38.541666666666664,109.41666666666667,0.28454545454545455,109.20833333333333,207.29166666666666,0.49963636363636366,0.47330434782608694,52.583333333333336,69.70833333333333,0.7163181818181819,37.541666666666664,117.29166666666667,154.83333333333334,95.375,26.083333333333332,16.791666666666668,42.041666666666664,61.791666666666664,386.625
TOR,144.8695652173913,325.60869565217394,0.41877272727272724,42.56521739130435,122.08695652173913,0.27036363636363636,102.30434782608695,203.52173913043478,0.5201428571428571,0.48100000000000004,57.69565217391305,76.04347826086956,0.7510526315789473,47.608695652173914,114.0,161.6086956521739,78.65217391304348,32.08695652173913,16.347826086956523,41.52173913043478,69.8695652173913,390.0
TOT,122.78350515463917,274.0,0.42812371134020616,39.05154639175258,112.78350515463917,0.3136304347826087,83.73195876288659,161.2164948453608,0.4849484536082474,0.4964329896907217,53.134020618556704,68.87628865979381,0.7571222222222223,34.71134020618557,109.42268041237114,144.1340206185567,83.97938144329896,24.711340206185568,15.061855670103093,44.1958762886598,66.6082474226804,337.7525773195876
UTA,138.625,294.4583333333333,0.4512083333333334,49.666666666666664,137.83333333333334,0.303,88.95833333333333,156.625,0.5683333333333334,0.5267083333333333,61.25,79.83333333333333,0.7083157894736842,36.833333333333336,121.5,158.33333333333334,76.5,24.5,16.75,44.958333333333336,64.45833333333333,388.1666666666667
WAS,114.72413793103448,243.31034482758622,0.4340357142857143,29.655172413793103,86.62068965517241,0.26029166666666664,85.06896551724138,156.68965517241378,0.4873571428571429,0.4769285714285714,48.03448275862069,61.310344827586206,0.7489565217391304,25.413793103448278,96.48275862068965,121.89655172413794,70.75862068965517,18.0,14.0,35.758620689655174,53.275862068965516,307.13793103448273
